inference_nstep,order,rank,condition_nonzero,largest_eigenvalue,smallest_eigenvalue,tolerance
1,1,1.0,1.0,0.08967859592516778,0.0,1.194758904146124e-16
1,2,2.0,7.160263781529986,0.1040864991632891,0.0,1.3867107350845278e-16
1,3,3.0,283.25802073264833,0.26328849001554583,0.0,3.507707324808595e-16
1,4,4.0,9090.25958887657,1.1326591879165149,4.1659831682642558e-22,1.5090051713737761e-15
1,5,5.0,2124715511.4784718,3.4397263879922737,4.074518264258224e-17,4.5826361212316964e-15
1,6,5.0,162455777466.82364,6.991910497523308,5.049517488084929e-17,9.315096024562452e-15
2,1,1.0,1.0,0.04483929796258389,0.0,5.97379452073062e-17
2,2,2.0,17.15837693303414,0.040281719557385305,0.0,5.3666031028923166e-17
2,3,3.0,264.72488563070124,0.03707018005338825,0.0,4.938740090672623e-17
2,4,4.0,7998.330000918151,0.03768020274784999,2.2870477651855002e-23,5.020011439584858e-17
2,5,5.0,19584251057.865253,0.03268069971718218,2.646551234506671e-19,4.35394383442518e-17
2,6,5.0,26025937705.83399,0.03792631938570622,7.679054531441597e-19,5.052800762555816e-17
5,1,1.0,1.0,0.01793571918503355,0.0,2.3895178082922477e-17
5,2,2.0,112.85087660921415,0.016528839046365987,0.0,2.2020837215518603e-17
5,3,3.0,4483.045571240282,0.0163062276502281,0.0,2.172425925847512e-17
5,4,4.0,241845.7955789346,0.016330752486376884,2.2326402206796485e-25,2.1756932903796166e-17
5,5,5.0,2712136400427.4116,0.016282082889817178,5.360457399171768e-20,2.1692091975756403e-17
5,6,5.0,134959288018439.08,0.01630724631885863,4.0794308620559022e-19,2.1725616397716816e-17
10,1,1.0,1.0,0.008967859592516779,0.0,1.1947589041461241e-17
10,2,2.0,484.21480110041216,0.00855951034335399,0.0,1.1403558555250535e-17
10,3,3.0,97493.56872990176,0.008539539371214974,0.0,1.1376951875539075e-17
10,4,4.0,32984629.256956544,0.008541141379490056,9.1882207758816e-27,1.1379086179306238e-17
10,5,4.0,397517274.4203356,0.008539633547268928,9.389717632499925e-20,1.1377077343247236e-17
10,6,4.0,165632092.5581385,0.008540032938142629,2.1596639332434607e-20,1.1377609438779806e-17
20,1,1.0,1.0,0.0044839297962583876,0.0,5.973794520730619e-18
20,2,2.0,2023.7069076510531,0.004374653970161962,0.0,5.8282098749299954e-18
20,3,3.0,1963100.8559819579,0.004372867502102963,0.0,5.825829821363766e-18
20,4,4.0,3829899256.9785614,0.004372948004053298,1.7274506625004076e-26,5.825937071506313e-18
20,5,4.0,10053705799.275331,0.004372901677024756,2.5242645985352913e-21,5.825875351505813e-18
20,6,4.0,8651384347.103146,0.004372907915661061,5.955196125341585e-22,5.825883663039015e-18
40,1,1.0,1.0,0.0022419648981291946,0.0,2.9868972603653103e-18
40,2,2.0,8291.495438354676,0.00221373861789055,0.0,2.9492923009007523e-18
40,3,3.0,35536615.103719406,0.002213566887675805,0.0,2.9490635102946318e-18
40,4,4.0,324433100882.658,0.002213570827687292,2.4777217768024334e-27,2.9490687594443963e-18
40,5,4.0,500588541847.47675,0.0022135694031372158,3.0465745495777092e-24,2.9490668615624426e-18
40,6,4.0,484862008516.628,0.0022135695003237424,1.9389870292854902e-24,2.949066991040906e-18
